question_clean	options_formatted	correct_letter
56 years old woman has come to you with the complaints of hot flushes irritability, joint pains with lack of sleep. Most appropriate treatment would be:	A. Hysterectomy. | B. Vitamins. | C. Combined oestrogen, progesterone preparations. | D. Phytooestrogens. | E. Selective estrogen receptor modulators (SERMS).	C
A newly married girl comes to gynae OPD with history of dysuria, burning, micturition and sore perineum. What is your likely diagnosis:	A. Trichomonas vaginalis. | B. Candida infection. | C. Trauma due to coitus. | D. Honey moon cystitis. | E. Genital herpes.	D
28 years old woman with previous history of having baby with Down's   Syndrome is now 12 weeks pregnant. Which of the following would you suggest to her:   Amniocentesis.	A. Obstetric ultrasound. | B. Chorionic villus sampling. | C. Fetal blood sampling. | D. Wait till eighteen weeks for detailed ultrasound and amniocentesis. | E. Obstetric ultrasound.	B
A 20-year-old medical student presents with five years history of weight gain, irregular periods and worsening fascial hair. What is the most likely diagnosis?	A. Polycystic ovarian disease. | B. Hypothyroidism. | C. Obesity. | D. Cushing's Syndrome. | E. Nephrotic Syndrome.	A
A large cystic ovarian tumour is detected in a woman on routine antenatal check-up. The most common complication she can encounter is:	A. Torsion. | B. Rupture. . | C. Haemorrhage | D. Degeneration. | E. Infection.	A
A 28-year-old patient complains of amenorrhea after having dilatation and curettage. The most likely diagnosis is:	A. Kallman's Syndrome. | B. Turner's Syndrome. | C. Asherman's Syndrome. | D. Pelvic inflammatory disease. | E. Anorexia nervosa.	C
28 years old G 3 P 2 has presented with complaints of brownish vaginal discharge, passage of vesicles and excessive vomiting. Ultrasound scan shows snowstorm appearance in uterus with no fetus. The most likely diagnosis is:	A. Septic induced abortion. | B. Twin pregnancy. | C. Gestational trophoblastic disease. | D. Ectopic pregnancy. | E. Fibroid uterus.	C
A 40 years old multiparous woman complains of involuntary loss of urine associated with coughing, or standing. The history is most laughing, lifting suggestive of:	A. Fistula. | B. Stress incontinence. | C. Urge incontinence. | D. Urethral diverticulum. | E. Urinary tract infection.	B
A 28 years old woman has 14 weeks size irregular uterus. She does not complain of abdominal pain or menorrhagia. Her pap smear is normal. The best next step in her management would be:	A. Continued observation. | B. Endometrial biopsy. . | C. Hysterectomy | D. Pelvic ultrasonography. . | E. Laparoscopy	D
A 39 years old women Para 6 has presented with complaint of post coital bleeding for the past three months. Your first investigation should be:	A. Dilatation & Curettage. | B. Cone biopsy of cervix. | C. Pap smear. | D. Colposcopy. | E. Laparoscopy.	C
A 43-year-old, lecturer has come to you with complaints of heavy but regular menstrual bleeding with flooding and clots. There is no anatomical reason for heavy flow. The most effective remedy for reducing her menstrual flow is:	A. Tranexemic acid. | B. Dilatation and Curettage. | C. Depomedroxy progesterone acetate. | D. Misoprostol. | E. Ergometrine maleate.	A
A young medical student has come to you to you with complaints of oligomenorrrhea, hirsuitism and weight gain, ultrasound reveals bulky ovaries with sub-capsular cysts. Most likely diagnosis is:	A. Ovarian cancer. | B. Cushing's syndrome. | C. Polycystic ovarian disease. | D. Diabetes mellitus. | E. Pelvic inflammatory disease.	C
